ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Description,gif file names,video files
34,Barbell Decline Bent Arm Pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Triceps Brachii","1. The Barbell Decline Bent Arm Pullover is an exercise primarily targeting the muscles of the chest, back, and arms. Here are the steps to perform this exercise:

2. Position yourself on a decline bench, ensuring that your head is below your hips. Lie down and place your feet securely on the foot support or have a partner hold your legs to stabilize you.

3. Hold a barbell with an overhand grip, hands shoulder-width apart. Your arms should be bent at approximately 90 degrees, with the barbell positioned directly above your chest.

4. Lower the barbell slowly and with control behind your head, until your upper arms are parallel to the floor. This movement requires bending your elbows while keeping them slightly fixed during the exercise.

5. Once you have reached the maximum stretch point, exhale and reverse the movement, pulling the barbell back to the starting position above your chest. Keep your core engaged and maintain control throughout the entire range of motion.

6. Repeat the exercise for the desired number of repetitions, making sure to focus on the contraction and extension of the chest and back muscles.

Note: It is important to use an appropriate weight that challenges your muscles without compromising your form. Start with lighter weights to master the technique before gradually increasing the load. Additionally, if you have any pre-existing shoulder, back, or neck issues, or if you feel any pain or discomfort during the exercise, it is advisable to consult with a fitness professional.",00341301-Barbell-Decline-Bent-Arm-Pullover_Back_180.webp,
35,Barbell Decline Close Grip To Skull Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,"1. Begin by positioning yourself on a decline bench with your feet securely placed on the foot pads and the back of the bench angled downwards.

2. Grasp a barbell with a close grip, hands shoulder-width apart, and ensure that your palms are facing towards your feet.

3. Start with the barbell at your chest level, with your elbows pointing slightly forward and your upper arms perpendicular to the floor.

4. Inhale deeply, and then slowly lower the barbell towards your forehead by flexing your elbows, keeping them close to your head throughout the movement. The barbell should be lowered until it is just above your forehead.

5. Exhale as you extend your arms back up to the starting position, pushing the barbell back up while keeping your elbows locked and maintaining control of the weight.

6. Repeat for the desired number of repetitions, making sure to maintain proper form and control throughout the exercise.

Important Tip: It is crucial to use an appropriate weight and gradually increase it as you become more comfortable with the movement. It is also advisable to perform this exercise under the guidance of a qualified fitness professional to ensure correct technique and safety.",00351301-Barbell-Decline-Close-Grip-To-Skull-Press_Upper-Arms_180.webp,
36,Barbell Decline Wide-grip Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii","1. Start by lying on a decline bench, with your feet secured at the top end of the bench and your head positioned at the lower end.

2. Grasp a barbell with a wide grip, slightly wider than shoulder-width apart. Your palms should be facing away from you.

3. Extend your arms fully and position the barbell above your chest, making sure to keep the bar in a straight line with your shoulders.

4. Slowly lower the barbell towards your chest, while maintaining control and keeping your elbows out to the sides. Aim to lower the barbell until it lightly touches your lower chest.

5. Push the barbell back up to the starting position by extending your arms, while keeping tension in your chest muscles. Avoid locking your elbows at the top of the movement to ensure constant tension on the muscles.

6. Repeat the exercise for the desired number of repetitions, focusing on maintaining proper form and control throughout the movement.

Note: This exercise specifically targets the lower chest muscles and using a wide grip adds emphasis to the outer portion of the chest. It is important to start with a weight that you can handle safely and gradually increase the resistance as your strength improves.",00361301-Barbell-Decline-Wide-grip-Press_Chest_180.webp,
37,Barbell Decline wide-grip pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii","1. The Barbell Decline wide-grip pullover is an exercise that targets the muscles of the chest, back, and triceps. Here are the steps to perform this exercise:

2. Start by adjusting a decline bench to approximately a 30-45 degree angle. Lie down on the bench, ensuring that your feet are firmly positioned and that your head is at the lower end of the bench.

3. Grab a barbell with a wide grip using both hands, palms facing away from you. Position the barbell above your chest, with your arms extended and elbows slightly bent.

4. Inhale and slowly lower the barbell towards the back of your head, keeping your arms extended and maintaining control throughout the movement. This is your starting position.

5. Exhale and engage your chest muscles as you raise the barbell back to the starting position, directly above your chest. Keep your arms extended and avoid using momentum to lift the weight.

6. Repeat the movement for the desired number of repetitions, ensuring that you maintain proper form and control throughout the exercise.

7. Once you have completed the desired number of repetitions, carefully rack the barbell and return to a seated position on the bench.

It is essential to use proper form and start with a weight that you can manage comfortably. Consult with a fitness professional if you are unsure about the appropriate weight or have any concerns about performing this exercise.",00371301-Barbell-Decline-wide-grip-pullover_Back_180.webp,
38,Barbell Drag Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior","1. Begin by standing tall with your feet shoulder-width apart and your knees slightly bent. Hold a barbell with an underhand grip, palms facing up, and hands shoulder-width apart.

2. Position the barbell close to your body, resting it against your thighs. Keep your back straight and engage your core muscles for stability throughout the exercise.

3. Slowly lift the barbell by flexing your elbows, moving them backward behind your body. As you do this, focus on contracting your biceps and keeping your upper arms stationary against your sides.

4. Continue lifting the barbell until your forearms are in an almost vertical position, making sure to maintain the same grip and keep your wrists straight.

5. Pause for a moment at the top of the movement, squeezing your biceps before slowly lowering the barbell back down to the starting position, following the same path.

6. Repeat for the desired number of repetitions, making sure to execute the exercise with controlled and deliberate movements.",00381301-Barbell-Drag-Curl_Upper-Arms_180.webp,00381201-Barbell-Drag-Curl_Upper-Arms-FIX_.mp4
39,Barbell Front Chest Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus","1. Start by standing with your feet shoulder-width apart and hold a barbell in front of your chest with an overhand grip. Your elbows should be pointing forward and slightly raised.

2. Engage your core and keep your back straight as you bend your knees and lower your body into a squatting position. Ensure that your knees are tracking over your toes and your weight is evenly distributed on both feet.

3. As you descend, keep the barbell close to your chest and maintain an upright position. It may help to imagine sitting back into a chair to maintain proper form.

4. Once you reach a comfortable depth, pause briefly, and then push through your heels to return to the starting position, fully extending your legs and squeezing your glutes.

5. Repeat the movement for the desired number of repetitions, keeping your core engaged and maintaining control throughout the exercise.
Note: The barbell front chest squat is a challenging variation of the traditional squat, placing more emphasis on the muscles in your chest, shoulders, and core. It is recommended to start with lighter weights and gradually increase as you become comfortable with the technique.",00391301-Barbell-Front-Chest-Squat_Thighs_180.webp,00391201-Barbell-Front-Chest-Squat_Thighs.mp4
40,Barbell Front Raise and Pullover,Strength,Chest,Barbell,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Deltoid Lateral, Latissimus Dorsi, Serratus Anterior, Teres Major, Triceps Brachii","1. Start by lying flat on a bench with your feet firmly planted on the ground and gripping a barbell with an overhand grip. Ensure your hands are slightly wider than shoulder-width apart.

2. Hold the barbell with your arms extended towards the ceiling, keeping a slight bend in your elbows. This is the starting position.

3. Begin the movement by lowering the barbell towards your chest, engaging your lats and triceps. Keep your elbows slightly bent throughout the exercise to avoid strain on the joints.

4. Once the barbell reaches just above your chest, reverse the movement by lifting the barbell back up towards the starting position, focusing on engaging your chest muscles.

5. As the barbell reaches the top position, simultaneously raise your arms in front of you until they are parallel to the ground. This engages your shoulders and targets the anterior deltoids.

6. Pause briefly at the top of the movement, then slowly lower the barbell back down towards your chest, following the same path you initially used to raise it.

7. Repeat the exercise for the desired number of repetitions. It is important to maintain control and focus on proper form throughout the exercise to maximize its benefits and minimize the risk of injury.",00401301-Barbell-Front-Raise-and-Pullover_Chest_180.webp,
41,Barbell Front Raise,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior","1. The Barbell Front Raise is an upper body exercise that primarily targets the front deltoids (shoulder muscles). Here are the steps to perform this exercise:

2. Start by standing with your feet shoulder-width apart, grasping a barbell with an overhand grip. Your palms should be facing down, and your hands should be slightly wider than shoulder-width apart.

3. Hold the barbell in front of your thighs with your arms fully extended and your elbows slightly bent.

4. Keeping your back straight and core engaged, exhale and slowly lift the barbell directly in front of you, until it reaches shoulder height. Make sure to keep your arms straight throughout the movement, with a slight bend in the elbows.

5. Hold the lifted position for a brief moment while squeezing your shoulder muscles to maximize the contraction.

6. Inhale and slowly lower the barbell back down to the starting position, controlling the movement and keeping it under your control.


It's important to maintain proper form throughout the exercise, keeping your body stable and minimizing any swinging or jerking movements. Additionally, you can adjust the weight on the barbell to suit your strength and fitness level.",00411301-Barbell-Front-Raise_Shoulders_180.webp,00411201-Barbell-Front-Raise_Shoulders.mp4
42,Barbell Front Squat,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus","1. Start by standing with your feet shoulder-width apart and position a barbell across the front of your shoulders. Ensure your grip is shoulder-width apart and your elbows are pointing forward.

2. Engage your core and maintain an upright posture as you lower your body into a squatting position. Bend your knees and hips, and push your hips back as if sitting into an imaginary chair.

3. As you lower yourself down, keep your chest up and your back straight. Aim to get your thighs parallel to the ground or lower, if possible, while maintaining proper form.

4. Push through your heels and extend your knees and hips as you return to the starting position. Keep your core engaged throughout the movement to stabilize your body.

5. Repeat the exercise for the desired number of repetitions, ensuring that you maintain proper form and control throughout.",00421301-Barbell-Front-Squat_Hips-FIX_180.webp,00421201-Barbell-Front-Squat_Hips-FIX_.mp4
43,Barbell Full Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus","1. Start by setting up a barbell at an appropriate weight for your fitness level and strength. The barbell should be placed on a squat rack or a power rack at about shoulder height.

2. Stand with your feet shoulder-width apart, positioning yourself underneath the barbell. Your feet should be slightly turned outwards, and the barbell should rest on your upper back, just below your neck. Grip the barbell with both hands, slightly wider than shoulder-width apart.

3. Take a deep breath and engage your core muscles. Begin the movement by bending at your hips and knees, pushing your hips back and down as if you were sitting back into a chair. Make sure to keep your chest up, back straight, and your gaze forward throughout the movement.

4. Continue descending until your thighs are parallel to the ground or lower. Your knees should be in line with your toes, and your weight evenly distributed through your feet.

5. From the bottom position, push through your heels and extend your hips and knees simultaneously to return to the starting position. Exhale as you rise, and make sure to maintain control and stability throughout the movement.

6. Repeat the squat for the desired number of repetitions, focusing on maintaining proper form and technique. Remember to always start with a weight that you can comfortably lift and progress gradually over time as your strength and proficiency improve.",00431301-Barbell-Full-Squat_Thighs_180.webp,00431201-Barbell-Full-Squat_Thighs-FIX_.mp4
44,Barbell Good Morning,Strength,Thighs,Barbell,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus","1. Start by placing a loaded barbell on the rack just below shoulder height. Step under the bar so it rests across your upper back and traps.

2. Position your feet shoulder-width apart and slight bend the knees. Keep your back straight and engage your core.

3. Unlock your hips and begin to hinge forward from the hips, pushing your buttocks back. Keep your back straight and your head in a neutral position.

4. Continue to lower your torso until you feel a stretch in your hamstrings. Try to maintain a straight back and avoid rounding or arching.

5. Once you reach the maximum stretch, reverse the movement and drive through your hips to return to the starting position. Squeeze your glutes at the top as you stand back up.

6. Repeat the movement for the desired number of repetitions while maintaining proper form and control throughout.",00441301-Barbell-Good-Morning_Thighs-FIX_180.webp,00441201-Barbell-Good-Morning_Thighs-FIX_.mp4
47,Barbell Incline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii","1. Start by lying on an incline bench with your feet flat on the ground and the barbell racked or held above your upper chest. Your palms should be facing forward and hands slightly wider than shoulder-width apart.

2. Begin the movement by unracking the barbell and lowering it slowly towards your upper chest while inhaling. Ensure that your elbows are slightly tucked in and your upper arms are at a 45-degree angle to your torso.

3. Once the barbell lightly touches your upper chest, push it back up by extending your arms and exhaling. Focus on using your chest muscles to drive the movement and avoid arching your back excessively.

4. Keep a controlled and smooth tempo throughout the exercise, avoiding any sudden jerking or bouncing of the weight.

5. Repeat the movement for the desired number of repetitions. Once you complete the set, carefully rack the barbell back or hand it off to a spotter if needed.",00471301-Barbell-Incline-Bench-Press_Chest-FIX_180.webp,00471201-Barbell-Incline-Bench-Press_Chest-FIX2_.mp4
48,Barbell Incline Reverse-grip Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head","1. Position yourself on an incline bench with your feet firmly planted on the ground.

2. Grasp the barbell with a reverse grip, which means your palms should be facing towards your face and your hands should be slightly wider than shoulder width apart.

3. Lift the barbell off the rack and hold it directly above your chest with your arms extended. This will be your starting position.

4. Slowly lower the barbell towards your upper chest, maintaining control and keeping your elbows slightly tucked in.

5. Pause for a second at the bottom of the movement, then push the barbell back up to the starting position by extending your arms and squeezing your chest muscles.

6. Repeat the movement for the desired number of repetitions.",00481301-Barbell-Incline-Reverse-grip-Press_Triceps_180.webp,
49,Barbell Incline Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Pectoralis Major Sternal Head","1. Set up an incline bench at approximately a 45-degree angle. Position it with the barbell rack close to the bottom of the bench.

2. Grab the barbell with an overhand grip, slightly wider than shoulder-width apart, and place it on the rack.

3. Position yourself by lying face down on the bench. Your shoulders should be at the top of the incline, with the barbell hanging just below the bench, arms fully extended.

4. Engage your core and maintain a neutral spine position throughout the exercise.

5. Begin the movement by retracting your shoulder blades and pulling the barbell towards your chest, slightly higher than your ribcage. Keep your elbows close to your body as you lift.

6. Pause for a brief moment at the top of the movement, then slowly lower the barbell back to the starting position, fully extending your arms.

7. Repeat for the desired number of repetitions, focusing on maintaining proper form and control throughout the exercise.

8. Once you have completed the set, carefully place the barbell back on the rack and slowly sit up from the incline bench.",00491301-Barbell-Incline-Row_Back-FIX_180.webp,00491201-Barbell-Incline-Row_Back-FIX_.mp4
54,Barbell Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus","1. Begin by standing with your feet shoulder-width apart and holding a barbell across the back of your shoulders, resting on your traps.

2. Take a step forward with one foot, ensuring that your core is engaged and your back remains straight.

3. Lower your body by bending both knees, until your front thigh is parallel to the ground and your back knee is hovering just above the floor.

4. Push through your front heel to return to the starting position, and then repeat the movement with the opposite leg, alternating between sides.

Note: It's important to maintain proper form throughout the exercise, keeping your chest up, shoulders back, and knees tracking over your toes. Start with lighter weights to ensure correct technique before progressing to heavier loads.",00541301-Barbell-Lunge_Thighs_180.webp,00541201-Barbell-Lunge_Thighs-FIX_.mp4
55,Barbell Lying Close-grip Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head","1. Begin by lying on a flat bench with your feet planted firmly on the floor. Place your hands on the barbell using a close-grip, slightly narrower than shoulder-width apart.

2. Lift the barbell off the rack and hold it above your chest with your arms fully extended. This is your starting position.

3. Lower the barbell slowly towards the middle of your chest, keeping your elbows tucked close to your sides.

4. Once the barbell touches your chest, pause for a moment, and then push the barbell back up to the starting position by extending your arms.",00551301-Barbell-Lying-Close-grip-Press_Triceps_180.webp,00551201-Barbell-Lying-Close-grip-Press_Upper-Arms.mp4
56,Barbell Lying Close-grip Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,"1. Start by lying flat on a bench, holding a barbell with an overhand grip and your hands close together, about shoulder-width apart.

2. Extend your arms straight up towards the ceiling, keeping your elbows locked and close to your head throughout the exercise.

3. Slowly lower the barbell towards your forehead, bending your elbows to lower it as far as you can while maintaining control and keeping your upper arms stationary.

4. Pause briefly at the bottom of the movement, then use your triceps to press the barbell back up to the starting position.

5. Repeat for the desired number of repetitions, ensuring that you maintain proper form and control throughout the exercise.",00561301-Barbell-Lying-Close-grip-Triceps-Extension_Upper-Arms_180.webp,
57,Barbell Lying extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,"1. Begin by lying with your back on a flat bench, feet planted firmly on the ground and knees bent at a 90-degree angle.

2. Grab a barbell with a shoulder-width grip, with your palms facing up and your hands slightly wider than your shoulders.

3. Keep your arms extended and perpendicular to the ground, holding the barbell directly above your chest.

4. In a slow and controlled motion, lower the barbell towards your forehead by bending your elbows. Keep your upper arms stationary, only allowing your forearms to move.

5. Pause for a moment at the bottom of the movement, feeling a stretch in your triceps.

6. Engage your triceps to push the barbell back to the starting position, fully extending your elbows.

7. Repeat for the desired number of repetitions, maintaining proper form and control throughout the exercise.",00571301-Barbell-Lying-extension_Upper-arms_180.webp,00571201-Barbell-Lying-extension_Upper-arms.mp4
58,Barbell Lying Lifting (on hip),Strength,Hips,Barbell,Male,Gluteus Maximus,"Gastrocnemius, Sartorius, Soleus","1. Start by lying flat on your back on a weight bench with your legs extended and feet flat on the ground. Your knees should be bent at a 90-degree angle.

2. Grab a barbell with an overhand grip, placing your hands slightly wider than shoulder-width apart. Your palms should be facing up towards the ceiling.

3. Lift the barbell off the floor, bending your elbows and bringing it towards your hips. Your upper arms should remain parallel to the floor throughout the exercise.

4. Lower the barbell back to the starting position, slowly and controlled, until your elbows are fully extended and the barbell is hovering just above the floor.

5. Repeat the lifting motion for the desired number of repetitions, keeping your core engaged and maintaining proper form throughout the exercise.

6. Once you have completed the set, carefully place the barbell back on the floor and rest before proceeding with additional sets or exercises.",00581301-Barbell-Lying-Lifting-(on-hip)_Hips_180.webp,
68,Barbell One Leg Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus","1. The exercise 'Barbell One Leg Squat' is also known as the Pistol Squat. Here are the steps to perform this exercise:

2. Start by standing with your feet shoulder-width apart and hold a barbell across your upper back, resting it on your trapezius muscles.

3. Lift one foot off the ground and extend your leg forward, keeping it straight throughout the movement. This will be your working leg.

4. Slowly lower your body by bending your standing leg at the knee, as if you are sitting back into a chair. Keep your back straight and your core engaged for stability.

5. Descend until your working leg is parallel to the ground or as low as you can comfortably go, while maintaining good form. You can extend your arms in front of you to counterbalance your body.

6. Pause briefly at the bottom of the movement, then engage your quadriceps and glute muscles to push through the heel of your standing foot and return to the starting position.

7. Repeat the exercise for the desired number of repetitions, then switch legs.

Tips:
- It is important to maintain a slow and controlled movement to ensure proper form and maximize muscle engagement.
- If you're finding it difficult to perform the exercise with a barbell, you can start by using only your body weight or hold onto a TRX strap or any stable support for balance.
- Don't forget to warm up your legs and hips before attempting this exercise, as it requires good lower body strength and mobility.",00681301-Barbell-One-Leg-Squat_thighs_180.webp,00681201-Barbell-One-Leg-Squat_Thighs-FIX_.mp4
