ID,Name,Name_es,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
0022,Barbell Pullover To Press,Press de banca con barra y extensión,Strength,Back,Barbell,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers"
0023,Barbell Alternate Biceps Curl,Curl alterno de bíceps con barra,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0024,Barbell Bench Front Squat,Sentadilla frontal con barra,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus"
0025,Barbell Bench Press,Press de banca con barra,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0026,Barbell Bench Squat,Sentadilla de banca con barra,Strength,Hips,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus"
0027,Barbell Bent Over Row,Remo con barra en posición inclinada,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior"
0028,Barbell Clean and Press,Arranque y prensa con barra,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",
0029,Barbell Clean-grip Front Squat,Sentadilla frontal con agarre limpio y barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0030,Barbell Close-Grip Bench Press,Press de banca con agarre cerrado y barra,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0031,Barbell Curl,Curl con barra,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0032,Barbell Deadlift,Levantamiento de barra del suelo,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus"
0033,Barbell Decline Bench Press,Press de banca declinado con barra,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0034,Barbell Decline Bent Arm Pullover,Pullover declinado con barra,Strength,Back,Barbell,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Triceps Brachii"
0035,Barbell Decline Close Grip To Skull Press,Extensión de cráneo con agarre cerrado declinado con barra,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0036,Barbell Decline Wide-grip Press,Press declinado con agarre amplio y barra,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0037,Barbell Decline wide-grip pullover,Pullover declinado con agarre amplio,Strength,Back,Barbell,Male,Latissimus Dorsi,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0038,Barbell Drag Curl,Curl de arrastre con barra,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior"
0039,Barbell Front Chest Squat,Sentadilla frontal para pecho con barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0040,Barbell Front Raise and Pullover,Levantamiento frontal y pullover con barra,Strength,Chest,Barbell,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Deltoid Lateral, Latissimus Dorsi, Serratus Anterior, Teres Major, Triceps Brachii"
0041,Barbell Front Raise,Elevación frontal con barra,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0042,Barbell Front Squat,Sentadilla frontal con barra,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0043,Barbell Full Squat,Sentadilla completa con barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0044,Barbell Good Morning,Buenos días con barra,Strength,Thighs,Barbell,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus"
0045,Barbell Guillotine Bench Press,Press de banca guillotina con barra,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0046,Barbell Hack Squat,Sentadilla con barra,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0047,Barbell Incline Bench Press,Press de banca inclinado con barra,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
0048,Barbell Incline Reverse-grip Press,Press de banca inclinado con agarre invertido,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head"
0049,Barbell Incline Row,Remo inclinado con barra,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Pectoralis Major Sternal Head"
0050,Barbell Incline Shoulder Raise,Elevación de hombros inclinado con barra,Strength,Chest,Barbell,Male,Serratus Anterior,Pectoralis Major Clavicular Head
0051,Barbell Jefferson Squat,Sentadilla Jefferson con barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0052,Barbell JM Bench Press,Press de banca JM con barra,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head"
0053,Barbell Jump Squat,Sentadilla con salto y barra,Aerobic,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus"
0054,Barbell Lunge,Estocada con barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0055,Barbell Lying Close-grip Press,Press de banca acostado con agarre cerrado,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head"
0056,Barbell Lying Close-grip Triceps Extension,Extensión de tríceps acostado con agarre cerrado,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0057,Barbell Lying extension,Extensión acostado con barra,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0058,Barbell Lying Lifting (on hip),Levantamiento acostado con barra (en la cadera),Strength,Hips,Barbell,Male,Gluteus Maximus,"Gastrocnemius, Sartorius, Soleus"
0059,Barbell Lying Preacher Curl,Curl de predicador acostado con barra,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0060,Barbell Lying Triceps Extension Skull Crusher,Extensión de tríceps acostado con agarre cerrado,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0061,Barbell Lying Triceps Extension,Extensión de tríceps acostado con barra,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0063,Barbell Narrow Stance Squat,Sentadilla con barra con postura estrecha,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0064,Barbell One Arm Bent over Row,Remo con una mano con barra,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0065,Barbell One Arm Floor Press,Press de una mano acostado con barra,Strength,Upper Arms,Barbell,Male,Triceps Brachii,Deltoid Posterior
0066,Barbell One Arm Side Deadlift,Levantamiento lateral con una mano con barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0067,Barbell One Arm Snatch,Arranque con una mano con barra,Strength,Shoulders,Barbell,Male,,
0068,Barbell One Leg Squat,Sentadilla con una pierna con barra,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0069,Barbell Overhead Squat,Sentadilla con barra por encima de la cabeza,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0070,Barbell Preacher Curl,Curl de predicador con barra,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0071,Barbell Press Sit-Up,Sentadilla con press de banca con barra,Strength,Waist,Barbell,Male,"Deltoid Anterior, Iliopsoas, Pectoralis Major Clavicular Head, Rectus Abdominis","Deltoid Lateral, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae, Triceps Brachii"
0072,Barbell Prone Incline Curl,Curl acostado inclinado con barra,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0073,Barbell Pullover,Pullover con barra,Strength,Back,Barbell,Male,Latissimus Dorsi,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0074,Barbell Rack Pull,Levantamiento con barra en bastidor,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus"
0075,Barbell Rear Delt Raise,Elevación de deltoides trasero con barra,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Lateral, Levator Scapulae, Trapezius Upper Fibers, Wrist Flexors"
0076,Barbell Rear Delt Row,Remo de deltoides trasero con barra,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Brachialis, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0077,Barbell Rear Lunge (version 2),Zancada trasera (versión 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0078,Barbell Rear Lunge,Zancada lateral de barra (versión 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0079,Barbell Revers Wrist Curl (version 2),Zancada lateral de barra,Strength,Forearms,Barbell,Male,Wrist Extensors,
0080,Barbell Reverse Curl,Zancada con una pierna con barra,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0081,Barbell Reverse Preacher Curl,Esquiador con barra,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0082,Barbell Reverse Wrist Curl,Sentadilla con salto con barra (versión 2),Strength,Forearms,Barbell,Male,Wrist Extensors,
0083,Barbell Rollout from Bench,Sentadilla con salto con barra,Strength,Waist,Barbell,Male,"Iliopsoas, Rectus Abdominis","Deltoid Posterior, Latissimus Dorsi, Pectoralis Major Sternal Head, Tensor Fasciae Latae, Teres Major"
0084,Barbell Rollout,Levantamiento con barra en las rodillas,Strength,Hips,Barbell,Male,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Deltoid Posterior, Pectineous, Pectoralis Major Sternal Head, Sartorius, Tensor Fasciae Latae, Teres Major"
0085,Barbell Romanian Deadlift,Rodillo con barra desde el banco,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus"
0086,Barbell Seated Behind Head Military Press,Rodillo con barra,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0087,Barbell Seated Bradford Rocky Press,Remo rumano con barra,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0088,Barbell Seated Calf Raise,Press militar acostado con barra detrás de la cabeza,Strength,Calves,Barbell,Male,Gastrocnemius,Soleus
0089,Barbell Seated Close-grip Concentration Curl,Press con barra tipo Bradford,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0090,Barbell Seated Good morning,Elevación de gemelos sentado con barra,Strength,Hips,Barbell,Male,Gluteus Maximus,Hamstrings
0091,Barbell Seated Overhead Press,Curl de concentración con agarre cerrado y barra,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0092,Barbell Seated Overhead Triceps Extension,Buenos días con barra sentado,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0094,Barbell Seated Twist,Press de hombros con barra por encima de la cabeza,Strength,Waist,Barbell,Male,Obliques,Iliopsoas
0095,Barbell Shrug,Extensión de tríceps con barra por encima de la cabeza (con cuerda),Strength,Back,Barbell,Male,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers"
0096,Barbell Side Bent (version 2),Curl de predicador con barra,Strength,Waist,Barbell,Male,Obliques,Iliopsoas
0097,Barbell Side Split Squat (version 2),Extensión de tríceps con agarre invertido de barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0098,Barbell Side Split Squat,Curl de predicador acostado con barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Longus, Adductor Magnus, Soleus"
0099,Barbell Single Leg Split Squat,Extensión de tríceps acostado con barra,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0100,Barbell Skier,Elevación de gemelos sentado con barra con agarre cerrado,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Deltoid Lateral, Teres Major"
0101,Barbell Speed Squat,Curl de predicador acostado con barra con agarre cerrado,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0102,Barbell Squat (on knees),Extensión de tríceps acostado con barra con agarre cerrado,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Hamstrings"
0103,Barbell Standing AB rollout,Elevación de gemelos sentado con barra con agarre invertido,Strength,Waist,Barbell,Male,"Iliopsoas, Rectus Abdominis","Deltoid Posterior, Levator Scapulae, Teres Major"
0104,Barbell Standing Back Wrist Curl,Elevación de gemelos sentado con barra,Strength,Forearms,Barbell,Male,Wrist Flexors,
0105,Barbell Standing Bradford Press,Extensión de tríceps acostado con agarre invertido de barra,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0106,Barbell Standing Close Grip Curl,Elevación de gemelos sentado con barra con agarre invertido,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0107,Barbell Standing Front Raise Over Head,Elevación Frontal de Barra de Pie sobre la Cabeza,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
0108,Barbell Standing Leg Calf Raise,Elevación de Gemelos de Pie con Barra,Strength,Calves,Barbell,Male,Gastrocnemius,Soleus
0109,Barbell Standing Overhead Triceps Extension,Extensión de Tríceps de Pie con Barra por Encima de la Cabeza,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0110,Barbell Standing Reverse Grip Curl,Curl de Bíceps de Pie con Barra y Agarre Invertido,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0111,Barbell Standing Rocking Leg Calf Raise,Elevación de Gemelos de Pie con Barra y Balanceo,Strength,Calves,Barbell,Male,"Gastrocnemius, Tibialis Anterior",Soleus
0112,Barbell Standing Twist,Giro de Pie con Barra,Strength,Waist,Barbell,Male,Obliques,Iliopsoas
0113,Barbell Standing Wide-grip Curl,Curl de Bíceps de Pie con Barra y Agarre Amplio,Strength,Upper Arms,Barbell,Male,"Biceps Brachii, Brachialis",Brachioradialis
0114,Barbell Step-up,Step-up con Barra,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0115,Barbell Stiff Leg Good Morning,Buenos Días de Pie con Barra y Piernas Rígidas,Strength,Thighs,Barbell,Male,"Erector Spinae, Gluteus Maximus, Hamstrings",Adductor Magnus
0116,Barbell Straight Leg Deadlift,Peso Muerto de Piernas Rígidas con Barra,Strength,Thighs,Barbell,Male,"Erector Spinae, Hamstrings","Adductor Magnus, Gluteus Maximus"
0117,Barbell Sumo Deadlift,Peso Muerto Sumo con Barra,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus, Tensor Fasciae Latae"
0118,Barbell Reverse Grip Bent over Row,Remo Invertido con Barra y Agarre Invertido,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0119,Barbell Upright Row (version 2),Remo Vertical con Barra (versión 2),Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Deltoid Anterior, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0120,Barbell Upright Row,Remo Vertical con Barra,Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0121,Barbell Upright Row (version 3),Remo Vertical con Barra (versión 3),Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0122,Barbell Wide Bench Press,Press de Banca Amplio con Barra,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0123,Barbell Wide-grip Upright Row,Remo Vertical con Barra y Agarre Amplio,Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0124,Barbell Wide Squat,Sentadilla Amplia con Barra,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0125,Barbell Wrist Curl (version 2),Curl de Antebrazo con Barra (versión 2),Strength,Forearms,Barbell,Male,Wrist Flexors,
0126,Barbell Wrist Curl,Curl de Antebrazo con Barra,Strength,Forearms,Barbell,Male,Wrist Flexors,
0127,Barbell Zercher Squat,Sentadilla Zercher con Barra,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0128,Battling Ropes,Cuerdas de Batalla,Strength,Shoulders,Rope,Male,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0129,Bench Dip (knees bent),Fondos en Banca (rodillas dobladas),Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Sternal Head"
0130,Bench Hip Extension,Extensión de Cadera en Banca,Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings
0137,Body-Up,Body-Up,Strength,Shoulders,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0138,Bottoms-Up,Bottoms-Up,Strength,Waist,Body weight,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0139,Brachialis Narrow Pull-ups,Dominadas de Agarre Estrecho para el Braquial,Strength,Upper Arms,Body weight,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0140,Brachialis Pull-up,Dominadas para el Braquial,Strength,Forearms,Body weight,Male,"Brachialis, Brachioradialis","Biceps Brachii, Levator Scapulae, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0148,Cable Alternate Shoulder Press,Press de Hombro Alternado con Cable,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Triceps Brachii"
0149,Cable Alternate Triceps Extension,Extensión de Tríceps Alternada con Cable,Strength,Upper Arms,Cable,Male,Triceps Brachii,
0150,Cable Bar Lateral Pulldown,Jalón Lateral con Barra y Cable,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0151,Cable Bench Press,Press de Banca con Cable,Strength,Chest,Cable,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii"
0152,Cable Concentration Extension (on knee),Extensión de Tríceps en Concentración con Cable (de rodillas),Strength,Upper Arms,Cable,Male,Triceps Brachii,
0153,Cable Cross-over Lateral Pulldown,Cruce Lateral con Cable,Strength,Back,Cable,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0154,Cable Cross-over Revers Fly,Cruce Posterior con Cable,Strength,Shoulders,Cable,Male,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0155,Cable Cross-over Variation,Variante de Cruce con Cable,Strength,Chest,Cable,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",Deltoid Anterior
0157,Cable Deadlift,Peso Muerto con Cable,Strength,Thighs,Cable,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0158,Cable Decline Fly,Cruce Inclinado con Cable,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
0159,Cable Decline Seated Wide-grip Row,Remo Sentado en Banca Inclinada con Cable y Agarre Amplio,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0160,Cable Floor Seated Wide-grip Row,Remo Sentado en el Suelo con Cable y Agarre Amplio,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0161,Cable Forward Raise,Elevación Frontal con Cable,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0162,Cable Front Raise,Elevación Frontal con Cable,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0164,Cable Front Shoulder Raise,Elevación Frontal de Hombros con Cable,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0165,Cable Hammer Curl (with rope),Curl de Martillo con Cable (con cuerda),Strength,Forearms,Cable,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0167,Cable High Row (kneeling),Remo Alto con Cable (de rodillas),Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0168,Cable Hip Adduction,Aducción de Cadera con Cable,Strength,Thighs,Cable,Male,Adductor Longus,"Adductor Brevis, Adductor Magnus, Gracilis"
0169,Cable Incline Bench Press,Press Inclinado con Cable,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
0170,Cable Incline Fly (on stability ball),Cruce Inclinado con Cable (en balón de estabilidad),Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
0171,Cable Incline Fly,Cruce Inclinado con Cable,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
0172,Cable Incline Pushdown,Extensión de Tríceps Inclinado con Cable,Strength,Back,Cable,Male,Latissimus Dorsi,"Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major"
0173,Cable Incline Triceps Extension,Movimiento de Judo con Cable,Strength,Upper Arms,Cable,Male,Triceps Brachii,
0174,Cable Judo Flip,Encogimiento de Abdominales de Rodillas con Cable,Strength,Waist,Cable,Male,Obliques,Rectus Abdominis
0175,Cable Kneeling Crunch,Extensión de Tríceps de Rodillas con Cable,Strength,Waist,Cable,Male,Rectus Abdominis,Obliques
